Gâteau au chocolat,55
Salade de fruits,11
Yaourt nature,5
Glace à l’eau,21
Tiramisu,30
Crêpe au sucre ,28
Yaourt au fruit,13
Éclair au chocolat,32
Cake aux fruits,55
Gaufre,36
Muffin,47
Milkshake,18
Cône glacé,21
Fraises,8
Framboises,8
Cerises,15
Tarte aux pommes,35
Tarte aux fraises,30
Flan,28
Mille feuilles,39
Galette frangipane,40
Mousse au chocolat,40
Crème brulée,25
