Salade verte,2
Carotte râpée,6
Macédoine,6
Melon,15
Betterave,9
Tomate,3
Soupe de légumes,5
Œuf,1
Taboulé,24
Quiche lorraine,21
Avocat,0
Pastèque,2
Céleri rémoulade,2
Concombre,2
